timestamp,currency,name,cost,project_id,project_name,cost_in_major,date
1722902400.0,usd,GPT-4 Turbo,314.654,,Default Project,3.14654000,2024-08-06
1722988800.0,usd,GPT-4 Turbo,115.215,,Default Project,1.15215000,2024-08-07
1723075200.0,usd,GPT-4 Turbo,1894.713,,Default Project,18.94713000,2024-08-08
1723161600.0,usd,GPT-4 Turbo,2556.689,,Default Project,25.56689000,2024-08-09
1723248000.0,usd,GPT-4o mini,71.126595,,Default Project,0.71126595,2024-08-10
1723248000.0,usd,GPT-4 Turbo,3277.286,,Default Project,32.77286000,2024-08-10
1723334400.0,usd,GPT-4o mini,294.462915,,Default Project,2.94462915,2024-08-11
1723334400.0,usd,GPT-4 Turbo,909.099,,Default Project,9.09099000,2024-08-11
1723593600.0,usd,GPT-4o mini,442.67139,,Default Project,4.42671390,2024-08-14
1723593600.0,usd,GPT-4 Turbo,1235.619,,Default Project,12.35619000,2024-08-14
1723593600.0,usd,GPT-3.5 Turbo,2.25925,,Default Project,0.02259250,2024-08-14
1723680000.0,usd,GPT-4o mini,195.455325,,Default Project,1.95455325,2024-08-15
1723680000.0,usd,GPT-4 Turbo,307.451,,Default Project,3.07451000,2024-08-15
1723680000.0,usd,GPT-3.5 Turbo,15.2536,,Default Project,0.15253600,2024-08-15
1723766400.0,usd,GPT-4o mini,666.83046,,Default Project,6.66830460,2024-08-16
1723766400.0,usd,GPT-3.5 Turbo,90.07495,,Default Project,0.90074950,2024-08-16
1723852800.0,usd,GPT-4o mini,258.64542,,Default Project,2.58645420,2024-08-17
1723852800.0,usd,GPT-3.5 Turbo,30.863,,Default Project,0.30863000,2024-08-17
1723939200.0,usd,GPT-4o mini,206.48004,,Default Project,2.06480040,2024-08-18
1723939200.0,usd,GPT-3.5 Turbo,22.4346,,Default Project,0.22434600,2024-08-18
1724025600.0,usd,GPT-4o mini,178.484835,,Default Project,1.78484835,2024-08-19
1724025600.0,usd,GPT-3.5 Turbo,21.7517,,Default Project,0.21751700,2024-08-19
1724112000.0,usd,GPT-4o mini,242.16003,,Default Project,2.42160030,2024-08-20
1724112000.0,usd,GPT-3.5 Turbo,37.38445,,Default Project,0.37384450,2024-08-20
1724198400.0,usd,GPT-4o,68.9785,,Default Project,0.68978500,2024-08-21
1724198400.0,usd,GPT-4o mini,256.035195,,Default Project,2.56035195,2024-08-21
1724198400.0,usd,GPT-3.5 Turbo,35.35745,,Default Project,0.35357450,2024-08-21
1724284800.0,usd,GPT-4o mini,197.64732,,Default Project,1.97647320,2024-08-22
1724284800.0,usd,GPT-3.5 Turbo,27.8095,,Default Project,0.27809500,2024-08-22
1724371200.0,usd,GPT-4o mini,202.264215,,Default Project,2.02264215,2024-08-23
1724371200.0,usd,GPT-3.5 Turbo,27.4867,,Default Project,0.27486700,2024-08-23
1724457600.0,usd,GPT-4o mini,204.60336,,Default Project,2.04603360,2024-08-24
1724457600.0,usd,GPT-3.5 Turbo,27.9885,,Default Project,0.27988500,2024-08-24
1724544000.0,usd,GPT-4o mini,192.12126,,Default Project,1.92121260,2024-08-25
1724544000.0,usd,GPT-3.5 Turbo,27.76575,,Default Project,0.27765750,2024-08-25
1724630400.0,usd,GPT-4o mini,199.621275,,Default Project,1.99621275,2024-08-26
1724630400.0,usd,GPT-3.5 Turbo,27.96125,,Default Project,0.27961250,2024-08-26
1724716800.0,usd,GPT-4o mini,268.72749,,Default Project,2.68727490,2024-08-27
1724716800.0,usd,GPT-3.5 Turbo,36.2161,,Default Project,0.36216100,2024-08-27
1724803200.0,usd,GPT-4o mini,400.99062,,Default Project,4.00990620,2024-08-28
1724803200.0,usd,GPT-3.5 Turbo,55.6338,,Default Project,0.55633800,2024-08-28
1724889600.0,usd,GPT-4o mini,197.32818,,Default Project,1.97328180,2024-08-29
1724889600.0,usd,GPT-3.5 Turbo,27.8253,,Default Project,0.27825300,2024-08-29
1724976000.0,usd,GPT-4o mini,191.16852,,Default Project,1.91168520,2024-08-30
1724976000.0,usd,GPT-3.5 Turbo,27.2703,,Default Project,0.27270300,2024-08-30
1725062400.0,usd,GPT-4o mini,202.434645,,Default Project,2.02434645,2024-08-31
1725062400.0,usd,GPT-3.5 Turbo,28.03515,,Default Project,0.28035150,2024-08-31
1725148800.0,usd,GPT-4o mini,194.46204,,Default Project,1.94462040,2024-09-01
1725148800.0,usd,GPT-3.5 Turbo,27.5911,,Default Project,0.27591100,2024-09-01
1725235200.0,usd,GPT-4o mini,192.546465,,Default Project,1.92546465,2024-09-02
1725235200.0,usd,GPT-3.5 Turbo,28.14575,,Default Project,0.28145750,2024-09-02
1725321600.0,usd,GPT-4o mini,200.6604,,Default Project,2.00660400,2024-09-03
1725321600.0,usd,GPT-3.5 Turbo,27.5571,,Default Project,0.27557100,2024-09-03
1725408000.0,usd,GPT-4o mini,390.003135,,Default Project,3.90003135,2024-09-04
1725408000.0,usd,GPT-4 Turbo,63.527,,Default Project,0.63527000,2024-09-04
1725408000.0,usd,GPT-3.5 Turbo,70.08465,,Default Project,0.70084650,2024-09-04
1725494400.0,usd,GPT-4o mini,190.797,,Default Project,1.90797000,2024-09-05
1725494400.0,usd,GPT-3.5 Turbo,20.657,,Default Project,0.20657000,2024-09-05
1725580800.0,usd,GPT-4o mini,203.763225,,Default Project,2.03763225,2024-09-06
1725580800.0,usd,GPT-3.5 Turbo,27.4243,,Default Project,0.27424300,2024-09-06
1725667200.0,usd,GPT-4o mini,204.167265,,Default Project,2.04167265,2024-09-07
1725667200.0,usd,GPT-3.5 Turbo,28.16185,,Default Project,0.28161850,2024-09-07
1725753600.0,usd,GPT-4o mini,194.896035,,Default Project,1.94896035,2024-09-08
1725753600.0,usd,GPT-3.5 Turbo,28.44705,,Default Project,0.28447050,2024-09-08
1725840000.0,usd,GPT-4o mini,201.634515,,Default Project,2.01634515,2024-09-09
1725840000.0,usd,Fine-tuning models,0.07941,,Default Project,0.00079410,2024-09-09
1725840000.0,usd,GPT-3.5 Turbo,27.88725,,Default Project,0.27887250,2024-09-09
